IQ-TREE multicore version 2.0.3 for Linux 64-bit built Dec 20 2020
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    fat02 (AVX512, FMA3, 3023 GB RAM)
Command: iqtree -s virus5_rdrp.mafft.trimal.fasta -T auto -m MFP -b 1000 -redo
Seed:    313020 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Mon Aug 14 20:27:28 2023
Kernel:  AVX+FMA - auto-detect threads (96 CPU cores detected)

Reading alignment file virus5_rdrp.mafft.trimal.fasta ... Fasta format detected
Alignment most likely contains protein sequences
Alignment has 12 sequences with 715 columns, 607 distinct patterns
421 parsimony-informative, 167 singleton sites, 127 constant sites
WARNING: Some sequence names are changed as follows:
YP_009225665.1[Panax_notoginseng_virus_A] -> YP_009225665.1_Panax_notoginseng_virus_A_
AWX94599.1_[Panax_notoginseng_virus_B] -> AWX94599.1__Panax_notoginseng_virus_B_
QFS21891.1[Taro-associated_totivirus_L] -> QFS21891.1_Taro-associated_totivirus_L_
AOX47549.1[Pterostylis_sanguinea_totivirus_A] -> AOX47549.1_Pterostylis_sanguinea_totivirus_A_
AOX47551.1[Pterostylis_sanguinea_totivirus_A] -> AOX47551.1_Pterostylis_sanguinea_totivirus_A_
UUY86183.1[Loquat_associated_totivirus_1] -> UUY86183.1_Loquat_associated_totivirus_1_
UVG55946.1[Poaceae_Liege_totivirus_14] -> UVG55946.1_Poaceae_Liege_totivirus_14_
WEL36415.1[Bursera_graveolens_associated_totivirus_1] -> WEL36415.1_Bursera_graveolens_associated_totivirus_1_
YP_009507835.1[Xanthophyllomyces_dendrorhous_virus_L1B] -> YP_009507835.1_Xanthophyllomyces_dendrorhous_virus_L1B_
YP_001497151.1[Black_raspberry_virus_F] -> YP_001497151.1_Black_raspberry_virus_F_
NP_620495.1[Saccharomyces_cerevisiae_virus_L-A] -> NP_620495.1_Saccharomyces_cerevisiae_virus_L-A_

                                                         Gap/Ambiguity  Composition  p-value
   1  virus5_rdrp                                               21.96%    passed     91.23%
   2  YP_009225665.1_Panax_notoginseng_virus_A_                  0.00%    passed     99.36%
   3  AWX94599.1__Panax_notoginseng_virus_B_                     0.00%    passed     99.88%
   4  QFS21891.1_Taro-associated_totivirus_L_                    0.00%    passed     97.40%
   5  AOX47549.1_Pterostylis_sanguinea_totivirus_A_              4.34%    passed     99.49%
   6  AOX47551.1_Pterostylis_sanguinea_totivirus_A_              3.08%    passed     97.59%
   7  UUY86183.1_Loquat_associated_totivirus_1_                  0.00%    passed     33.88%
   8  UVG55946.1_Poaceae_Liege_totivirus_14_                     0.28%    passed     99.90%
   9  WEL36415.1_Bursera_graveolens_associated_totivirus_1_      0.00%    passed     82.36%
  10  YP_009507835.1_Xanthophyllomyces_dendrorhous_virus_L1B_    3.92%    passed     72.31%
  11  YP_001497151.1_Black_raspberry_virus_F_                    0.00%    passed     99.59%
  12  NP_620495.1_Saccharomyces_cerevisiae_virus_L-A_            2.94%    passed     56.92%
****  TOTAL                                                      3.04%  0 sequences failed composition chi2 test (p-value<5%; df=19)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.002 seconds
Measuring multi-threading efficiency up to 96 CPU cores
Increase to 10 rounds for branch lengths
758 trees examined
Threads: 1 / Time: 96.071 sec / Speedup: 1.000 / Efficiency: 100% / LogL: -13557
Threads: 2 / Time: 78.559 sec / Speedup: 1.223 / Efficiency: 61% / LogL: -13557
Threads: 3 / Time: 77.542 sec / Speedup: 1.239 / Efficiency: 41% / LogL: -13557
BEST NUMBER OF THREADS: 2

Perform fast likelihood tree search using LG+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -13204.388
Optimal log-likelihood: -13204.283
Proportion of invariable sites: 0.081
Gamma shape alpha: 0.802
Parameters optimization took 1 rounds (0.032 sec)
Time for fast ML tree search: 0.258 seconds

NOTE: ModelFinder requires 11 MB RAM!
ModelFinder will test up to 546 protein models (sample size: 715) ...
 No. Model         -LnL         df  AIC          AICc         BIC
BEST SCORE FOUND : -12766.815
Total tree length: 9.577

Total number of iterations: 102
CPU time used for tree search: 20.989 sec (0h:0m:20s)
Wall-clock time used for tree search: 10.615 sec (0h:0m:10s)
Total CPU time used: 21.413 sec (0h:0m:21s)
Total wall-clock time used: 10.829 sec (0h:0m:10s)

===> START BOOTSTRAP REPLICATE NUMBER 205

Creating bootstrap alignment (seed: 313224)...

Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.001 seconds

NOTE: 3 MB RAM (0 GB) is required!
Estimate model parameters (epsilon = 0.100)
1. Initial log-likelihood: -13461.580
2. Current log-likelihood: -13235.706
3. Current log-likelihood: -13224.227
4. Current log-likelihood: -13223.865
Optimal log-likelihood: -13223.834
Gamma shape alpha: 0.587
Parameters optimization took 4 rounds (0.127 sec)
Computing ML distances based on estimated model parameters... 0.016 sec
Computing BIONJ tree...
0.000 seconds
Log-likelihood of BIONJ tree: -13248.984
--------------------------------------------------------------------
|             INITIALIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Generating 98 parsimony trees... 0.125 second
Computing log-likelihood of 94 initial trees ... 0.679 seconds
Current best score: -13223.834

Do NNI search on 20 best initial trees
Estimate model parameters (epsilon = 0.100)
BETTER TREE FOUND at iteration 1: -13219.382
Iteration 10 / LogL: -13219.714 / Time: 0h:0m:1s
Iteration 20 / LogL: -13219.817 / Time: 0h:0m:2s
Finish initializing candidate tree set (2)
Current best tree score: -13219.382 / CPU time: 2.463
Number of iterations: 20
--------------------------------------------------------------------
|               OPTIMIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Iteration 30 / LogL: -13233.392 / Time: 0h:0m:3s (0h:0m:9s left)
Iteration 40 / LogL: -13219.614 / Time: 0h:0m:4s (0h:0m:7s left)
Iteration 50 / LogL: -13233.876 / Time: 0h:0m:5s (0h:0m:5s left)
Iteration 60 / LogL: -13219.664 / Time: 0h:0m:6s (0h:0m:4s left)
Iteration 70 / LogL: -13219.420 / Time: 0h:0m:7s (0h:0m:3s left)
Iteration 80 / LogL: -13219.444 / Time: 0h:0m:8s (0h:0m:2s left)
Iteration 90 / LogL: -13233.502 / Time: 0h:0m:9s (0h:0m:1s left)
Iteration 100 / LogL: -13219.672 / Time: 0h:0m:10s (0h:0m:0s left)
TREE SEARCH COMPLETED AFTER 102 ITERATIONS / Time: 0h:0m:10s

--------------------------------------------------------------------
|                    FINALIZING TREE SEARCH                        |
--------------------------------------------------------------------
Performs final model parameters optimization
Estimate model parameters (epsilon = 0.010)
1. Initial log-likelihood: -13219.382
Optimal log-likelihood: -13219.382
Gamma shape alpha: 0.586
Parameters optimization took 1 rounds (0.019 sec)
BEST SCORE FOUND : -13219.382
Total tree length: 10.404

Total number of iterations: 102
CPU time used for tree search: 20.493 sec (0h:0m:20s)
Wall-clock time used for tree search: 10.369 sec (0h:0m:10s)
Total CPU time used: 20.908 sec (0h:0m:20s)
Total wall-clock time used: 10.577 sec (0h:0m:10s)

===> START BOOTSTRAP REPLICATE NUMBER 206

Creating bootstrap alignment (seed: 313225)...

Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.001 seconds

NOTE: 3 MB RAM (0 GB) is required!
Estimate model parameters (epsilon = 0.100)
1. Initial log-likelihood: -14067.343
2. Current log-likelihood: -13818.056
3. Current log-likelihood: -13810.584
4. Current log-likelihood: -13810.423
Optimal log-likelihood: -13810.415
Gamma shape alpha: 0.638
Parameters optimization took 4 rounds (0.125 sec)
Computing ML distances based on estimated model parameters... 0.014 sec
Computing BIONJ tree...
0.000 seconds
Log-likelihood of BIONJ tree: -13840.004
--------------------------------------------------------------------
|             INITIALIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Generating 98 parsimony trees... 0.131 second
Computing log-likelihood of 96 initial trees ... 0.715 seconds
Current best score: -13810.415

Do NNI search on 20 best initial trees
Estimate model parameters (epsilon = 0.100)
BETTER TREE FOUND at iteration 1: -13810.415
Estimate model parameters (epsilon = 0.100)
BETTER TREE FOUND at iteration 2: -13803.671
Iteration 10 / LogL: -13811.810 / Time: 0h:0m:2s
Iteration 20 / LogL: -13803.908 / Time: 0h:0m:3s
Finish initializing candidate tree set (2)
Current best tree score: -13803.671 / CPU time: 2.905
Number of iterations: 20
--------------------------------------------------------------------
|               OPTIMIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Iteration 30 / LogL: -13803.808 / Time: 0h:0m:4s (0h:0m:10s left)
Iteration 40 / LogL: -13803.694 / Time: 0h:0m:5s (0h:0m:8s left)
Iteration 50 / LogL: -13804.078 / Time: 0h:0m:6s (0h:0m:6s left)
Iteration 60 / LogL: -13810.657 / Time: 0h:0m:7s (0h:0m:5s left)
UPDATE BEST LOG-LIKELIHOOD: -13803.669
Iteration 70 / LogL: -13803.886 / Time: 0h:0m:8s (0h:0m:3s left)
UPDATE BEST LOG-LIKELIHOOD: -13803.667
Iteration 80 / LogL: -13804.685 / Time: 0h:0m:9s (0h:0m:2s left)
Iteration 90 / LogL: -13803.740 / Time: 0h:0m:10s (0h:0m:1s left)
Iteration 100 / LogL: -13815.734 / Time: 0h:0m:11s (0h:0m:0s left)
TREE SEARCH COMPLETED AFTER 103 ITERATIONS / Time: 0h:0m:11s

--------------------------------------------------------------------
|                    FINALIZING TREE SEARCH                        |
--------------------------------------------------------------------
Performs final model parameters optimization
Estimate model parameters (epsilon = 0.010)
1. Initial log-likelihood: -13803.667
Optimal log-likelihood: -13803.666
Gamma shape alpha: 0.642
Parameters optimization took 1 rounds (0.020 sec)
BEST SCORE FOUND : -13803.666
Total tree length: 10.378

Total number of iterations: 103
CPU time used for tree search: 22.557 sec (0h:0m:22s)
Wall-clock time used for tree search: 11.414 sec (0h:0m:11s)
Total CPU time used: 22.957 sec (0h:0m:22s)
Total wall-clock time used: 11.616 sec (0h:0m:11s)

===> START BOOTSTRAP REPLICATE NUMBER 207

Creating bootstrap alignment (seed: 313226)...

Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.001 seconds

NOTE: 3 MB RAM (0 GB) is required!
Estimate model parameters (epsilon = 0.100)
1. Initial log-likelihood: -13561.537
2. Current log-likelihood: -13351.650
3. Current log-likelihood: -13343.053
4. Current log-likelihood: -13342.920
Optimal log-likelihood: -13342.917
Gamma shape alpha: 0.586
Parameters optimization took 4 rounds (0.121 sec)
Computing ML distances based on estimated model parameters... 0.014 sec
Computing BIONJ tree...
0.000 seconds
Log-likelihood of BIONJ tree: -13270.144
--------------------------------------------------------------------
|             INITIALIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Generating 98 parsimony trees... 0.126 second
Computing log-likelihood of 97 initial trees ... 0.717 seconds
Current best score: -13270.144

Do NNI search on 20 best initial trees
Estimate model parameters (epsilon = 0.100)
BETTER TREE FOUND at iteration 1: -13270.121
Iteration 10 / LogL: -13270.618 / Time: 0h:0m:1s
Iteration 20 / LogL: -13271.180 / Time: 0h:0m:2s
Finish initializing candidate tree set (3)
Current best tree score: -13270.121 / CPU time: 2.800
Number of iterations: 20
--------------------------------------------------------------------
|               OPTIMIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Iteration 30 / LogL: -13270.689 / Time: 0h:0m:4s (0h:0m:9s left)
Iteration 40 / LogL: -13270.950 / Time: 0h:0m:4s (0h:0m:7s left)
Iteration 50 / LogL: -13286.981 / Time: 0h:0m:5s (0h:0m:6s left)
Iteration 60 / LogL: -13287.565 / Time: 0h:0m:7s (0h:0m:4s left)
Iteration 70 / LogL: -13270.980 / Time: 0h:0m:8s (0h:0m:3s left)
Iteration 80 / LogL: -13286.808 / Time: 0h:0m:9s (0h:0m:2s left)
Iteration 90 / LogL: -13270.704 / Time: 0h:0m:10s (0h:0m:1s left)
Iteration 100 / LogL: -13271.261 / Time: 0h:0m:11s (0h:0m:0s left)
TREE SEARCH COMPLETED AFTER 102 ITERATIONS / Time: 0h:0m:11s

--------------------------------------------------------------------
|                    FINALIZING TREE SEARCH                        |
--------------------------------------------------------------------
Performs final model parameters optimization
Estimate model parameters (epsilon = 0.010)
1. Initial log-likelihood: -13270.121
Optimal log-likelihood: -13270.120
Gamma shape alpha: 0.594
Parameters optimization took 1 rounds (0.021 sec)
BEST SCORE FOUND : -13270.120
Total tree length: 9.512

Total number of iterations: 102
CPU time used for tree search: 21.954 sec (0h:0m:21s)
Wall-clock time used for tree search: 11.106 sec (0h:0m:11s)
Total CPU time used: 22.344 sec (0h:0m:22s)
Total wall-clock time used: 11.306 sec (0h:0m:11s)

===> START BOOTSTRAP REPLICATE NUMBER 208

Creating bootstrap alignment (seed: 313227)...

Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.001 seconds

NOTE: 3 MB RAM (0 GB) is required!
Estimate model parameters (epsilon = 0.100)
1. Initial log-likelihood: -13632.874
2. Current log-likelihood: -13408.432
3. Current log-likelihood: -13397.256
4. Current log-likelihood: -13396.869
Optimal log-likelihood: -13396.833
Gamma shape alpha: 0.598
Parameters optimization took 4 rounds (0.132 sec)
Computing ML distances based on estimated model parameters... 0.019 sec
Computing BIONJ tree...
0.000 seconds
Log-likelihood of BIONJ tree: -13422.940
--------------------------------------------------------------------
|             INITIALIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Generating 98 parsimony trees... 0.128 second
Computing log-likelihood of 94 initial trees ... 0.688 seconds
Current best score: -13396.833

Do NNI search on 20 best initial trees
Estimate model parameters (epsilon = 0.100)
BETTER TREE FOUND at iteration 1: -13383.317
Estimate model parameters (epsilon = 0.100)
BETTER TREE FOUND at iteration 4: -13381.091
Iteration 10 / LogL: -13383.577 / Time: 0h:0m:1s
Iteration 20 / LogL: -13383.396 / Time: 0h:0m:2s
Finish initializing candidate tree set (4)
Current best tree score: -13381.091 / CPU time: 2.801
Number of iterations: 20
--------------------------------------------------------------------
|               OPTIMIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Iteration 30 / LogL: -13381.095 / Time: 0h:0m:3s (0h:0m:9s left)
Iteration 40 / LogL: -13393.177 / Time: 0h:0m:4s (0h:0m:7s left)
Iteration 50 / LogL: -13382.583 / Time: 0h:0m:5s (0h:0m:6s left)
UPDATE BEST LOG-LIKELIHOOD: -13381.091
Iteration 60 / LogL: -13386.182 / Time: 0h:0m:6s (0h:0m:5s left)
Iteration 70 / LogL: -13381.104 / Time: 0h:0m:7s (0h:0m:3s left)
Iteration 80 / LogL: -13381.508 / Time: 0h:0m:8s (0h:0m:2s left)
Iteration 90 / LogL: -13385.678 / Time: 0h:0m:9s (0h:0m:1s left)
Iteration 100 / LogL: -13393.644 / Time: 0h:0m:10s (0h:0m:0s left)
TREE SEARCH COMPLETED AFTER 105 ITERATIONS / Time: 0h:0m:10s

--------------------------------------------------------------------
|                    FINALIZING TREE SEARCH                        |
--------------------------------------------------------------------
Performs final model parameters optimization
Estimate model parameters (epsilon = 0.010)
1. Initial log-likelihood: -13381.091
Optimal log-likelihood: -13381.090
Gamma shape alpha: 0.586
Parameters optimization took 1 rounds (0.020 sec)
BEST SCORE FOUND : -13381.090
Total tree length: 10.903

Total number of iterations: 105
CPU time used for tree search: 20.683 sec (0h:0m:20s)
Wall-clock time used for tree search: 10.467 sec (0h:0m:10s)
Total CPU time used: 21.106 sec (0h:0m:21s)
Total wall-clock time used: 10.680 sec (0h:0m:10s)

===> START BOOTSTRAP REPLICATE NUMBER 209

Creating bootstrap alignment (seed: 313228)...

Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.001 seconds

NOTE: 3 MB RAM (0 GB) is required!
Estimate model parameters (epsilon = 0.100)
1. Initial log-likelihood: -13500.914
2. Current log-likelihood: -13269.115
3. Current log-likelihood: -13259.732
4. Current log-likelihood: -13259.531
Optimal log-likelihood: -13259.524
Gamma shape alpha: 0.592
Parameters optimization took 4 rounds (0.127 sec)
Computing ML distances based on estimated model parameters... 0.019 sec
Computing BIONJ tree...
0.000 seconds
Log-likelihood of BIONJ tree: -13297.227
--------------------------------------------------------------------
|             INITIALIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Generating 98 parsimony trees... 0.133 second
Computing log-likelihood of 96 initial trees ... 0.709 seconds
Current best score: -13259.524

Do NNI search on 20 best initial trees
Estimate model parameters (epsilon = 0.100)
BETTER TREE FOUND at iteration 1: -13256.930
Iteration 10 / LogL: -13257.100 / Time: 0h:0m:1s
Iteration 20 / LogL: -13257.941 / Time: 0h:0m:3s
Finish initializing candidate tree set (1)
Current best tree score: -13256.930 / CPU time: 2.907
Number of iterations: 20
--------------------------------------------------------------------
|               OPTIMIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Iteration 30 / LogL: -13257.137 / Time: 0h:0m:4s (0h:0m:10s left)
Iteration 40 / LogL: -13257.129 / Time: 0h:0m:5s (0h:0m:8s left)
Iteration 50 / LogL: -13256.964 / Time: 0h:0m:6s (0h:0m:6s left)
Iteration 60 / LogL: -13256.988 / Time: 0h:0m:7s (0h:0m:4s left)
Iteration 70 / LogL: -13257.191 / Time: 0h:0m:8s (0h:0m:3s left)
Iteration 80 / LogL: -13257.973 / Time: 0h:0m:9s (0h:0m:2s left)
Iteration 90 / LogL: -13257.123 / Time: 0h:0m:10s (0h:0m:1s left)
Iteration 100 / LogL: -13257.078 / Time: 0h:0m:11s (0h:0m:0s left)
TREE SEARCH COMPLETED AFTER 102 ITERATIONS / Time: 0h:0m:11s

--------------------------------------------------------------------
|                    FINALIZING TREE SEARCH                        |
--------------------------------------------------------------------
Performs final model parameters optimization
Estimate model parameters (epsilon = 0.010)
1. Initial log-likelihood: -13256.930
Optimal log-likelihood: -13256.928
Gamma shape alpha: 0.599
Parameters optimization took 1 rounds (0.020 sec)
BEST SCORE FOUND : -13256.928
Total tree length: 10.240

Total number of iterations: 102
CPU time used for tree search: 22.497 sec (0h:0m:22s)
Wall-clock time used for tree search: 11.377 sec (0h:0m:11s)
Total CPU time used: 22.897 sec (0h:0m:22s)
Total wall-clock time used: 11.578 sec (0h:0m:11s)

===> START BOOTSTRAP REPLICATE NUMBER 210

Creating bootstrap alignment (seed: 313229)...

Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.001 seconds

NOTE: 3 MB RAM (0 GB) is required!
Estimate model parameters (epsilon = 0.100)
1. Initial log-likelihood: -13389.903
2. Current log-likelihood: -13162.031
3. Current log-likelihood: -13153.811
4. Current log-likelihood: -13153.553
Optimal log-likelihood: -13153.518
Gamma shape alpha: 0.585
Parameters optimization took 4 rounds (0.124 sec)
Computing ML distances based on estimated model parameters... 0.014 sec
Computing BIONJ tree...
0.000 seconds
Log-likelihood of BIONJ tree: -13137.493
--------------------------------------------------------------------
|             INITIALIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Generating 98 parsimony trees... 0.126 second
Computing log-likelihood of 98 initial trees ... 0.705 seconds
Current best score: -13137.493

Do NNI search on 20 best initial trees
Estimate model parameters (epsilon = 0.100)
BETTER TREE FOUND at iteration 1: -13128.272
Estimate model parameters (epsilon = 0.100)
BETTER TREE FOUND at iteration 2: -13124.492
Iteration 10 / LogL: -13128.758 / Time: 0h:0m:2s
Iteration 20 / LogL: -13128.571 / Time: 0h:0m:3s
Finish initializing candidate tree set (4)
Current best tree score: -13124.492 / CPU time: 2.923
Number of iterations: 20
--------------------------------------------------------------------
|               OPTIMIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Iteration 30 / LogL: -13124.688 / Time: 0h:0m:4s (0h:0m:10s left)
Iteration 40 / LogL: -13137.021 / Time: 0h:0m:5s (0h:0m:8s left)
Iteration 50 / LogL: -13129.312 / Time: 0h:0m:6s (0h:0m:6s left)
Iteration 60 / LogL: -13124.757 / Time: 0h:0m:7s (0h:0m:5s left)
Iteration 70 / LogL: -13137.654 / Time: 0h:0m:8s (0h:0m:3s left)
Iteration 80 / LogL: -13131.975 / Time: 0h:0m:8s (0h:0m:2s left)
Iteration 90 / LogL: -13132.033 / Time: 0h:0m:9s (0h:0m:1s left)
Iteration 100 / LogL: -13129.103 / Time: 0h:0m:10s (0h:0m:0s left)
TREE SEARCH COMPLETED AFTER 103 ITERATIONS / Time: 0h:0m:10s

--------------------------------------------------------------------
|                    FINALIZING TREE SEARCH                        |
--------------------------------------------------------------------
Performs final model parameters optimization
Estimate model parameters (epsilon = 0.010)
1. Initial log-likelihood: -13124.492
Optimal log-likelihood: -13124.492
Gamma shape alpha: 0.588
Parameters optimization took 1 rounds (0.019 sec)
BEST SCORE FOUND : -13124.492
Total tree length: 9.625

Total number of iterations: 103
CPU time used for tree search: 21.060 sec (0h:0m:21s)
Wall-clock time used for tree search: 10.654 sec (0h:0m:10s)
Total CPU time used: 21.454 sec (0h:0m:21s)
Total wall-clock time used: 10.854 sec (0h:0m:10s)

===> START BOOTSTRAP REPLICATE NUMBER 211

Creating bootstrap alignment (seed: 313230)...

Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.001 seconds

NOTE: 3 MB RAM (0 GB) is required!
Estimate model parameters (epsilon = 0.100)
1. Initial log-likelihood: -13669.307
2. Current log-likelihood: -13432.576
3. Current log-likelihood: -13423.523
4. Current log-likelihood: -13423.251
Optimal log-likelihood: -13423.234
Gamma shape alpha: 0.619
Parameters optimization took 4 rounds (0.120 sec)
Computing ML distances based on estimated model parameters... 0.014 sec
Computing BIONJ tree...
0.000 seconds
Log-likelihood of BIONJ tree: -13447.628
--------------------------------------------------------------------
|             INITIALIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Generating 98 parsimony trees... 0.124 second
Computing log-likelihood of 98 initial trees ... 0.690 seconds
Current best score: -13417.650

Do NNI search on 20 best initial trees
Estimate model parameters (epsilon = 0.100)
BETTER TREE FOUND at iteration 1: -13400.920
Estimate model parameters (epsilon = 0.100)
BETTER TREE FOUND at iteration 2: -13397.165
Iteration 10 / LogL: -13409.257 / Time: 0h:0m:1s
Iteration 20 / LogL: -13397.252 / Time: 0h:0m:3s
Finish initializing candidate tree set (6)
Current best tree score: -13397.165 / CPU time: 2.833
Number of iterations: 20
--------------------------------------------------------------------
|               OPTIMIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Iteration 30 / LogL: -13400.958 / Time: 0h:0m:3s (0h:0m:9s left)
Iteration 40 / LogL: -13397.432 / Time: 0h:0m:4s (0h:0m:7s left)
Iteration 50 / LogL: -13397.191 / Time: 0h:0m:5s (0h:0m:6s left)
Iteration 60 / LogL: -13397.282 / Time: 0h:0m:6s (0h:0m:4s left)
Iteration 70 / LogL: -13397.213 / Time: 0h:0m:7s (0h:0m:3s left)
Iteration 80 / LogL: -13397.176 / Time: 0h:0m:8s (0h:0m:2s left)
Iteration 90 / LogL: -13401.951 / Time: 0h:0m:9s (0h:0m:1s left)
Iteration 100 / LogL: -13397.409 / Time: 0h:0m:10s (0h:0m:0s left)
TREE SEARCH COMPLETED AFTER 103 ITERATIONS / Time: 0h:0m:10s

--------------------------------------------------------------------
|                    FINALIZING TREE SEARCH                        |
--------------------------------------------------------------------
Performs final model parameters optimization
Estimate model parameters (epsilon = 0.010)
1. Initial log-likelihood: -13397.165
Optimal log-likelihood: -13397.164
Gamma shape alpha: 0.612
Parameters optimization took 1 rounds (0.019 sec)
BEST SCORE FOUND : -13397.164
Total tree length: 10.655

Total number of iterations: 103
CPU time used for tree search: 20.847 sec (0h:0m:20s)
Wall-clock time used for tree search: 10.547 sec (0h:0m:10s)
Total CPU time used: 21.226 sec (0h:0m:21s)
Total wall-clock time used: 10.739 sec (0h:0m:10s)

===> START BOOTSTRAP REPLICATE NUMBER 212

Creating bootstrap alignment (seed: 313231)...

Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.001 seconds

NOTE: 3 MB RAM (0 GB) is required!
Estimate model parameters (epsilon = 0.100)
1. Initial log-likelihood: -13462.852
2. Current log-likelihood: -13250.251
3. Current log-likelihood: -13240.321
4. Current log-likelihood: -13239.963
Optimal log-likelihood: -13239.929
Gamma shape alpha: 0.568
Parameters optimization took 4 rounds (0.127 sec)
Computing ML distances based on estimated model parameters... 0.015 sec
Computing BIONJ tree...
0.000 seconds
Log-likelihood of BIONJ tree: -13272.235
--------------------------------------------------------------------
|             INITIALIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Generating 98 parsimony trees... 0.125 second
Computing log-likelihood of 93 initial trees ... 0.685 seconds
Current best score: -13239.929

Do NNI search on 20 best initial trees
Estimate model parameters (epsilon = 0.100)
BETTER TREE FOUND at iteration 1: -13239.917
Iteration 10 / LogL: -13240.119 / Time: 0h:0m:1s
Iteration 20 / LogL: -13239.982 / Time: 0h:0m:3s
Finish initializing candidate tree set (3)
Current best tree score: -13239.917 / CPU time: 2.827
Number of iterations: 20
--------------------------------------------------------------------
|               OPTIMIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Iteration 30 / LogL: -13239.922 / Time: 0h:0m:4s (0h:0m:9s left)
Iteration 40 / LogL: -13239.918 / Time: 0h:0m:5s (0h:0m:8s left)
Iteration 50 / LogL: -13240.064 / Time: 0h:0m:6s (0h:0m:6s left)
Iteration 60 / LogL: -13239.926 / Time: 0h:0m:7s (0h:0m:5s left)
Iteration 70 / LogL: -13254.119 / Time: 0h:0m:8s (0h:0m:3s left)
Iteration 80 / LogL: -13240.249 / Time: 0h:0m:9s (0h:0m:2s left)
Iteration 90 / LogL: -13239.925 / Time: 0h:0m:10s (0h:0m:1s left)
Iteration 100 / LogL: -13240.322 / Time: 0h:0m:11s (0h:0m:0s left)
TREE SEARCH COMPLETED AFTER 102 ITERATIONS / Time: 0h:0m:11s

--------------------------------------------------------------------
|                    FINALIZING TREE SEARCH                        |
--------------------------------------------------------------------
Performs final model parameters optimization
Estimate model parameters (epsilon = 0.010)
1. Initial log-likelihood: -13239.917
Optimal log-likelihood: -13239.917
Gamma shape alpha: 0.567
Parameters optimization took 1 rounds (0.019 sec)
BEST SCORE FOUND : -13239.917
Total tree length: 10.197

Total number of iterations: 102
CPU time used for tree search: 22.617 sec (0h:0m:22s)
Wall-clock time used for tree search: 11.436 sec (0h:0m:11s)
Total CPU time used: 23.019 sec (0h:0m:23s)
Total wall-clock time used: 11.638 sec (0h:0m:11s)

===> START BOOTSTRAP REPLICATE NUMBER 213

Creating bootstrap alignment (seed: 313232)...

Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.001 seconds

NOTE: 3 MB RAM (0 GB) is required!
Estimate model parameters (epsilon = 0.100)
1. Initial log-likelihood: -13342.108
2. Current log-likelihood: -13110.044
3. Current log-likelihood: -13102.065
4. Current log-likelihood: -13101.876
Optimal log-likelihood: -13101.861
Gamma shape alpha: 0.588
Parameters optimization took 4 rounds (0.128 sec)
Computing ML distances based on estimated model parameters... 0.014 sec
Computing BIONJ tree...
0.000 seconds
Log-likelihood of BIONJ tree: -13089.963
--------------------------------------------------------------------
|             INITIALIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Generating 98 parsimony trees... 0.120 second
Computing log-likelihood of 97 initial trees ... 0.710 seconds
Current best score: -13078.837

Do NNI search on 20 best initial trees
Estimate model parameters (epsilon = 0.100)
BETTER TREE FOUND at iteration 1: -13065.400
Estimate model parameters (epsilon = 0.100)
BETTER TREE FOUND at iteration 4: -13064.848
Iteration 10 / LogL: -13070.074 / Time: 0h:0m:2s
Iteration 20 / LogL: -13068.197 / Time: 0h:0m:2s
Finish initializing candidate tree set (4)
Current best tree score: -13064.848 / CPU time: 2.717
Number of iterations: 20
--------------------------------------------------------------------
